order_id,user_id,order_date,order_amount,restaurant_id
1,4215,2025-11-02,1130,316
2,2375,2025-12-08,788,347
3,3984,2025-08-25,873,77
4,208,2025-07-22,843,233
5,8140,2025-06-04,521,85
6,9174,2025-11-18,1157,370
7,4303,2025-03-07,504,194
8,6912,2025-08-10,1111,455
9,6691,2025-10-05,396,249
10,112,2025-12-08,274,149
11,7154,2025-06-01,269,308
12,4710,2025-12-13,614,34
13,5041,2025-07-22,620,108
14,1410,2025-08-07,322,228
15,8898,2025-05-23,833,430
16,5873,2025-05-25,998,132
17,8133,2025-10-22,1163,361
18,6276,2025-07-20,1117,286
19,6994,2025-03-28,1149,167
20,4200,2025-01-04,613,237
21,2601,2025-01-15,929,344
22,4858,2025-06-20,1027,353
23,7807,2025-09-19,1164,471
24,6806,2025-11-17,1134,59
25,7499,2025-12-08,841,482
26,5040,2025-01-30,216,268
27,9040,2025-11-10,1101,152
28,2944,2025-03-27,637,149
29,8068,2025-08-13,993,36
30,8361,2025-02-25,990,185
31,6701,2025-07-16,435,389
32,985,2025-10-29,417,235
33,1108,2025-09-02,902,433
34,8299,2025-03-08,278,101
35,7433,2025-05-05,824,183
36,4343,2025-01-10,684,110
37,1554,2025-01-01,1183,111
38,2003,2025-10-02,227,490
39,8105,2025-12-04,815,249
40,498,2025-08-25,562,85
41,4950,2025-04-05,950,133
42,1422,2025-07-02,560,195
43,3475,2025-06-26,1039,181
44,5981,2025-07-02,641,261
45,4374,2025-08-02,1052,144
46,8734,2025-11-20,1087,20
47,7311,2025-10-24,592,123
48,8981,2025-07-02,954,150
49,8548,2025-07-26,173,185
50,5644,2025-03-10,542,19
51,9419,2025-06-20,960,3
52,8442,2025-03-23,237,42
53,6179,2025-11-09,1111,397
54,532,2025-10-31,653,284
55,8751,2025-11-02,1008,102
56,1620,2025-07-03,519,389
57,1292,2025-04-20,930,296
58,3125,2025-08-05,848,488
59,4881,2025-04-26,525,201
60,4114,2025-04-19,614,186
61,9320,2025-10-06,210,496
62,3912,2025-02-10,901,232
63,7160,2025-03-28,1192,229
64,1108,2025-04-03,774,267
65,5428,2025-08-13,598,158
66,5271,2025-11-11,881,285
67,6497,2025-09-12,887,119
68,1688,2025-10-01,246,360
69,5988,2025-11-23,138,37
70,4472,2025-08-12,1130,227
71,5682,2025-07-18,703,488
72,3476,2025-05-16,779,151
73,2578,2025-04-24,1083,297
74,2533,2025-12-28,1098,53
75,4218,2025-09-30,984,279
76,6938,2025-11-03,588,452
77,2030,2025-10-13,904,78
78,9336,2025-03-07,237,321
79,5959,2025-07-07,428,275
80,5419,2025-06-23,989,432
81,6191,2025-10-05,807,333
82,7765,2025-02-01,1011,220
83,9940,2025-08-29,1154,266
84,4820,2025-05-16,336,91
85,5920,2025-03-04,295,164
86,8410,2025-01-29,995,105
87,2811,2025-07-28,1016,44
88,3416,2025-02-09,201,340
89,5953,2025-06-22,445,472
90,5434,2025-01-02,522,228
91,1717,2025-09-13,319,151
92,7898,2025-11-01,835,398
93,290,2025-08-28,718,390
94,4698,2025-08-29,127,218
95,610,2025-01-31,125,178
96,2354,2025-03-09,688,441
97,7646,2025-08-22,652,340
98,536,2025-12-12,1073,347
99,3292,2025-01-10,1024,333
100,3758,2025-02-20,433,342
101,8949,2025-07-17,532,383
102,7158,2025-06-21,404,47
103,3850,2025-01-26,856,289
104,8070,2025-07-22,156,500
105,8546,2025-12-01,628,464
106,4831,2025-05-01,241,13
107,4331,2025-08-24,442,68
108,8498,2025-04-18,1054,239
109,5230,2025-04-01,766,421
110,2996,2025-01-30,977,292
111,6971,2025-07-18,778,464
112,2215,2025-08-17,906,155
113,9402,2025-05-23,940,2
114,276,2025-03-21,1093,473
115,6154,2025-05-03,956,436
116,6554,2025-08-23,1163,474
117,8339,2025-03-25,1152,12
118,3549,2025-04-23,1092,17
119,6973,2025-12-24,1009,346
120,852,2025-12-06,699,125
121,4524,2025-11-22,283,231
122,8680,2025-12-30,865,210
123,1554,2025-04-14,719,476
124,1762,2025-05-28,546,313
125,8776,2025-07-16,440,286
126,6800,2025-11-05,177,147
127,4311,2025-07-22,458,185
128,4606,2025-05-10,1009,274
129,8703,2025-06-07,1031,358
130,7757,2025-05-16,221,121
131,3814,2025-10-23,339,415
132,5892,2025-05-16,730,441
133,6889,2025-05-25,571,451
134,6195,2025-08-19,1018,74
135,8148,2025-04-09,160,17
136,3203,2025-01-30,1068,391
137,343,2025-07-16,304,372
138,7746,2025-03-05,238,169
139,1424,2025-02-05,904,384
140,8338,2025-03-20,240,249
141,4558,2025-06-26,329,34
142,9108,2025-03-22,1060,343
143,6648,2025-07-24,897,264
144,1912,2025-01-24,745,241
145,1340,2025-04-17,1179,21
146,2247,2025-08-28,509,309
147,6447,2025-05-12,701,426
148,2952,2025-08-27,1137,398
149,498,2025-04-20,688,114
150,791,2025-03-18,1159,169
151,8202,2025-05-17,620,282
152,3099,2025-10-09,709,483
153,8185,2025-10-30,674,84
154,2817,2025-08-22,940,341
155,327,2025-06-14,398,228
156,883,2025-04-17,952,166
157,1672,2025-09-24,964,129
158,5003,2025-05-03,121,134
159,8930,2025-03-24,402,117
160,2175,2025-10-06,304,122
161,5236,2025-06-24,457,316
162,924,2025-11-14,946,252
163,4267,2025-11-28,1046,179
164,8113,2025-02-08,380,396
165,2825,2025-11-12,743,281
166,5108,2025-04-20,686,221
167,6870,2025-12-01,1128,271
168,5721,2025-10-19,824,203
169,9346,2025-03-18,232,79
170,2071,2025-11-24,326,32
171,7347,2025-12-10,744,122
172,6545,2025-06-08,187,291
173,4601,2025-06-17,162,229
174,921,2025-03-01,758,321
175,6092,2025-12-15,1174,373
176,3483,2025-08-23,992,363
177,6473,2025-02-06,850,78
178,1444,2025-09-08,372,6
179,2802,2025-03-02,157,144
180,1776,2025-05-26,521,161
181,8221,2025-11-06,232,312
182,2293,2025-10-14,747,429
183,3704,2025-03-20,256,85
184,826,2025-06-14,581,406
185,7712,2025-12-06,820,12
186,3742,2025-12-14,175,258
187,8331,2025-03-09,705,329
188,4453,2025-07-29,1063,440
189,2260,2025-12-18,243,491
190,1163,2025-03-28,562,216
191,3440,2025-03-03,995,102
192,2534,2025-03-20,566,490
193,5613,2025-08-24,486,494
194,9552,2025-09-20,1008,500
195,7931,2025-06-08,424,395
196,2226,2025-09-12,606,98
197,3673,2025-12-18,869,345
198,2161,2025-02-09,612,337
199,8475,2025-03-19,216,312
200,9332,2025-12-05,861,172
201,1798,2025-06-27,706,411
