user_id,signup_date,city,acquisition_source,device_type
1,13-04-2025,Bengaluru,Organic Search,Android
2,15-12-2025,Pune,Instagram,Android
3,28-09-2025,Delhi,Google Ads,Android
4,17-04-2025,Chennai,Instagram,Android
5,13-03-2025,Delhi,Google Ads,Android
6,08-07-2025,Hyderabad,Instagram,iOS
7,21-01-2025,Delhi,Organic Search,Android
8,13-04-2025,Chennai,Referral,Android
9,02-05-2025,Hyderabad,Google Ads,Android
10,03-08-2025,Mumbai,Instagram,iOS
11,27-11-2025,Hyderabad,Facebook,Android
12,29-03-2025,Pune,Referral,iOS
13,10-04-2025,Bengaluru,Instagram,Android
14,26-12-2025,Pune,Facebook,Android
15,01-06-2025,Hyderabad,Organic Search,Android
16,11-05-2025,Mumbai,Referral,Android
17,30-05-2025,Delhi,Organic Search,Android
18,05-11-2025,Hyderabad,Organic Search,Android
19,15-09-2025,Pune,Organic Search,Android
20,10-12-2025,Hyderabad,Google Ads,Android
21,21-10-2025,Hyderabad,Facebook,Android
22,11-07-2025,Hyderabad,Referral,Android
23,04-10-2025,Mumbai,Facebook,Android
24,10-06-2025,Chennai,Organic Search,Android
25,10-11-2025,Chennai,Instagram,Android
26,22-01-2025,Hyderabad,Google Ads,iOS
27,10-09-2025,Mumbai,Instagram,Android
28,24-08-2025,Mumbai,Instagram,Android
29,11-12-2025,Hyderabad,Instagram,iOS
30,18-02-2025,Pune,Referral,Android
31,28-02-2025,Pune,Instagram,Android
32,19-06-2025,Bengaluru,Referral,Android
33,07-07-2025,Hyderabad,Facebook,Android
34,28-09-2025,Bengaluru,Instagram,Android
35,09-07-2025,Pune,Instagram,Android
36,24-06-2025,Pune,Facebook,Android
37,20-02-2025,Hyderabad,Referral,Android
38,30-12-2025,Bengaluru,Organic Search,Android
39,24-02-2025,Bengaluru,Organic Search,iOS
40,01-09-2025,Hyderabad,Organic Search,Android
41,16-11-2025,Bengaluru,Facebook,Android
42,11-05-2025,Delhi,Organic Search,iOS
43,03-11-2025,Pune,Organic Search,Android
44,15-05-2025,Chennai,Organic Search,Android
45,21-01-2025,Mumbai,Instagram,Android
46,25-11-2025,Bengaluru,Organic Search,Android
47,16-06-2025,Bengaluru,Google Ads,Android
48,01-10-2025,Mumbai,Referral,Android
49,30-03-2025,Bengaluru,Instagram,Android
50,12-11-2025,Mumbai,Google Ads,Android
51,14-01-2025,Hyderabad,Instagram,Android
52,30-08-2025,Delhi,Instagram,Android
53,22-09-2025,Delhi,Instagram,Android
54,12-12-2025,Pune,Organic Search,Android
55,22-02-2025,Chennai,Instagram,Android
56,06-12-2025,Bengaluru,Google Ads,Android
57,02-04-2025,Chennai,Instagram,iOS
58,21-09-2025,Hyderabad,Facebook,Android
59,04-02-2025,Delhi,Instagram,iOS
60,25-07-2025,Hyderabad,Instagram,Android
61,22-03-2025,Hyderabad,Google Ads,Android
62,19-02-2025,Bengaluru,Facebook,Android
63,26-12-2025,Hyderabad,Instagram,iOS
64,02-01-2025,Delhi,Instagram,Android
65,23-02-2025,Chennai,Instagram,Android
66,16-04-2025,Delhi,Organic Search,iOS
67,17-09-2025,Bengaluru,Google Ads,iOS
68,06-11-2025,Delhi,Facebook,Android
69,10-07-2025,Mumbai,Instagram,iOS
70,06-08-2025,Chennai,Google Ads,iOS
71,13-02-2025,Mumbai,Instagram,Android
72,11-06-2025,Mumbai,Instagram,iOS
73,21-07-2025,Pune,Google Ads,iOS
74,27-09-2025,Bengaluru,Google Ads,Android
